#Software: Microsoft Log Parser
#Version: 1.0
#Date: 2014-09-01 00:57:00
#Fields: LogFilename RecordNumber ComputerName SiteID DateTime ClientIpAddress ServerIpAddress ServerPort Method ProtocolVersion ProtocolStatus SubStatus TimeTaken BytesSent BytesReceived Win32Status UriStem UriQuery UserName
d:\iislog\W3SVC\ra140831.ibl 91651 USER-1A7617C508 132273000 2014-08-31 02:51:09 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 15 736 390 0 /install/images/leftbox-tbg.png - -
d:\iislog\W3SVC\ra140831.ibl 91652 USER-1A7617C508 132273000 2014-08-31 02:51:09 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 15 653 391 0 /install/images/ico-step-now.png - -
d:\iislog\W3SVC\ra140831.ibl 91653 USER-1A7617C508 132273000 2014-08-31 02:51:09 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 15 879 390 0 /install/images/step-ico-bg.png - -
d:\iislog\W3SVC\ra140831.ibl 91654 USER-1A7617C508 132273000 2014-08-31 02:51:09 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 0 1827 387 0 /install/images/but_next.gif - -
d:\iislog\W3SVC\ra140831.ibl 91656 USER-1A7617C508 132273000 2014-08-31 02:51:09 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 15 3722 387 0 /install/images/loading1.gif - -
d:\iislog\W3SVC\ra140831.ibl 91658 USER-1A7617C508 132273000 2014-08-31 02:51:09 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 15 1461 174 0 /favicon.ico - -
d:\iislog\W3SVC\ra140831.ibl 95441 USER-1A7617C508 132273000 2014-08-31 02:56:54 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 31 10770 371 0 /install/index.php step=3 -
d:\iislog\W3SVC\ra140831.ibl 95442 USER-1A7617C508 132273000 2014-08-31 02:56:54 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 15 5000 340 0 /install/style.css - -
d:\iislog\W3SVC\ra140831.ibl 95443 USER-1A7617C508 132273000 2014-08-31 02:56:54 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 31 8292 363 0 /include/dedeajax2.js - -
d:\iislog\W3SVC\ra140831.ibl 95444 USER-1A7617C508 132273000 2014-08-31 02:56:54 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 15 2713 343 0 /install/tablebox.css - -
d:\iislog\W3SVC\ra140831.ibl 95448 USER-1A7617C508 132273000 2014-08-31 02:56:54 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 0 560 385 0 /install/images/top-bg.png - -
d:\iislog\W3SVC\ra140831.ibl 95450 USER-1A7617C508 132273000 2014-08-31 02:56:54 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 15 655 395 0 /install/images/ico-step-succeed.png - -
